url_path,views_total,views_unique
/grp-bork/nIMP3/tree/0d3f72e530601512a1ea82c8a01becbc01a60ac8,4,1
/grp-bork/nIMP3,2,2
/grp-bork/nIMP3/blob/0d3f72e530601512a1ea82c8a01becbc01a60ac8/clowm_info.json,2,1
/grp-bork/nIMP3/blob/fae8a20d9426b97c4246690a844fd75ae78c58be/clowm_info.json,1,1
/grp-bork/nIMP3/compare/0d3f72e530601512a1ea82c8a01becbc01a60ac8...288309d7a44f9b22d97189e823f8a7adc634f90a,1,1
/grp-bork/nIMP3/compare/fae8a20d9426b97c4246690a844fd75ae78c58be...0d3f72e530601512a1ea82c8a01becbc01a60ac8,1,1
/grp-bork/nIMP3/tree/fae8a20d9426b97c4246690a844fd75ae78c58be,1,1
